instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
93,646,0,2,1,2,2,3,1,0,0,0,0,1,0,3,1,0,0,1,2,1,1,1,2,1,1,0,1,1,0,0,0.05,0
94,651,1,1,0,2,2,2,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0.34,0
95,816,0,1,1,2,0,3,1,0,0,0,0,0,0,3,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0.38,1
96,93,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0.29,0
97,662,1,1,2,2,2,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0.34,0
98,394,0,0,0,0,0,5,0,1,0,0,0,1,1,1,1,0,2,1,2,0,1,0,1,0,1,0,2,2,0,0,0.18,0
99,804,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,0,0.29,0
100,535,0,2,3,2,2,2,2,1,1,1,2,1,1,2,1,0,2,1,1,1,1,1,0,0,1,1,2,2,1,0,0.28,0
101,890,1,1,2,1,1,3,2,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0.2,1
102,750,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.32,0
103,375,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0.11,0
104,29,1,1,0,2,2,4,1,1,0,0,0,1,1,0,0,1,1,1,2,0,0,1,0,0,1,0,2,2,0,0,0.21,0
105,281,0,0,1,0,0,1,0,1,0,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0.26,0
106,789,0,0,2,1,1,2,0,0,0,0,0,1,0,3,1,0,2,1,2,1,1,1,0,0,0,0,1,1,0,0,0.28,0
107,818,1,1,1,1,1,3,1,1,0,1,2,1,1,3,1,0,2,1,2,1,1,1,0,1,1,1,2,2,1,0,0.02,0
108,889,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,1,1,1,1,2,1,0,1,0,0,1,1,0,0,0.31,0
109,443,1,1,1,1,1,5,2,1,1,1,2,1,1,2,1,1,1,1,2,1,0,0,0,0,1,0,1,1,0,0,0.15,0
110,87,1,2,1,0,0,4,1,1,1,0,0,1,1,1,1,1,2,1,2,1,1,0,0,0,1,0,2,2,0,0,0.08,1
111,913,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,1,0,0,0.27,0
112,853,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,0,1,0,2,2,0,0,0.0,0
113,1096,1,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,0,0,0,0,0,0.38,1
114,208,1,1,1,2,0,1,2,1,0,0,1,1,1,1,1,1,2,1,2,1,0,0,0,0,1,0,2,1,0,0,0.39,1
115,530,0,1,3,2,2,4,1,1,1,1,2,1,1,3,1,2,2,1,2,0,0,0,1,0,1,1,2,2,1,0,0.17,0
116,111,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0.32,1
117,848,0,1,1,0,0,2,2,1,1,1,2,1,1,3,1,2,1,0,1,2,1,2,2,2,0,1,1,0,0,0,0.35,1
118,1022,1,0,1,0,0,2,2,1,1,1,2,1,0,3,1,2,2,1,2,1,0,0,0,0,1,0,2,1,1,0,0.23,0
119,735,0,1,1,1,1,2,0,1,1,1,2,1,1,2,1,0,2,1,2,0,1,1,0,2,1,1,1,1,1,0,0.23,0
120,256,0,0,0,0,0,2,0,1,0,1,2,1,1,0,1,0,1,1,2,1,1,0,1,0,1,0,2,2,0,0,0.06,0
121,1001,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,2,1,0,0,0.06,0
122,1173,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0.24,0
